timestamp_utc,open,close,min,max,volume
2026-05-20T10:35:00+00:00,1.159615,1.15989,1.15961,1.15989,167
2026-05-20T10:36:00+00:00,1.159895,1.16002,1.159895,1.160035,224
2026-05-20T10:37:00+00:00,1.16003,1.16009,1.16001,1.16021,196
2026-05-20T10:38:00+00:00,1.160085,1.16014,1.160085,1.16019,123
2026-05-20T10:39:00+00:00,1.160145,1.16021,1.16013,1.16023,187
2026-05-20T10:40:00+00:00,1.160215,1.160105,1.160105,1.160265,166
2026-05-20T10:41:00+00:00,1.160105,1.160065,1.16004,1.16013,102
2026-05-20T10:42:00+00:00,1.160065,1.160075,1.16004,1.160135,91
2026-05-20T10:43:00+00:00,1.160075,1.160085,1.16006,1.1601,60
2026-05-20T10:44:00+00:00,1.16009,1.160045,1.15998,1.16012,136
2026-05-20T10:45:00+00:00,1.16004,1.160055,1.16001,1.160125,83
2026-05-20T10:46:00+00:00,1.16006,1.160165,1.16002,1.160185,118
2026-05-20T10:47:00+00:00,1.160165,1.16026,1.160165,1.16029,114
2026-05-20T10:48:00+00:00,1.160255,1.16017,1.16015,1.1603,134
2026-05-20T10:49:00+00:00,1.16018,1.16014,1.16013,1.16029,127
2026-05-20T10:50:00+00:00,1.16014,1.160015,1.15999,1.16014,74
2026-05-20T10:51:00+00:00,1.160025,1.159985,1.15998,1.16004,73
2026-05-20T10:52:00+00:00,1.159985,1.16003,1.159965,1.16004,64
2026-05-20T10:53:00+00:00,1.160035,1.160035,1.16003,1.16008,100
2026-05-20T10:54:00+00:00,1.16003,1.16016,1.16003,1.160175,77
2026-05-20T10:55:00+00:00,1.160155,1.16015,1.160125,1.160205,108
2026-05-20T10:56:00+00:00,1.160145,1.16014,1.160095,1.16016,92
2026-05-20T10:57:00+00:00,1.160145,1.160055,1.160045,1.160215,95
2026-05-20T10:58:00+00:00,1.16005,1.160095,1.160045,1.16013,108
2026-05-20T10:59:00+00:00,1.1601,1.16011,1.160075,1.16012,61
2026-05-20T11:00:00+00:00,1.1601,1.159975,1.15997,1.160105,98
2026-05-20T11:01:00+00:00,1.15997,1.15994,1.15991,1.159975,117
2026-05-20T11:02:00+00:00,1.159945,1.159845,1.159765,1.15996,149
2026-05-20T11:03:00+00:00,1.15985,1.15984,1.15978,1.15985,84
2026-05-20T11:04:00+00:00,1.15984,1.15975,1.15974,1.15984,81
2026-05-20T11:05:00+00:00,1.159755,1.159735,1.15973,1.1598,62
2026-05-20T11:06:00+00:00,1.159735,1.15971,1.159695,1.159735,30
2026-05-20T11:07:00+00:00,1.15971,1.159655,1.159645,1.159735,94
2026-05-20T11:08:00+00:00,1.159655,1.15979,1.15963,1.15986,134
2026-05-20T11:09:00+00:00,1.15979,1.15968,1.159655,1.15981,61
2026-05-20T11:10:00+00:00,1.15968,1.159765,1.15968,1.159775,128
2026-05-20T11:11:00+00:00,1.159765,1.159805,1.15976,1.15987,121
2026-05-20T11:12:00+00:00,1.15981,1.15972,1.159685,1.15984,125
2026-05-20T11:13:00+00:00,1.15972,1.159845,1.15972,1.15985,113
2026-05-20T11:14:00+00:00,1.15985,1.15982,1.15977,1.15985,129
2026-05-20T11:15:00+00:00,1.159825,1.15987,1.159805,1.15987,69
2026-05-20T11:16:00+00:00,1.159875,1.159865,1.15983,1.159895,47
2026-05-20T11:17:00+00:00,1.159865,1.15965,1.15964,1.159895,127
