timestamp_utc,open,close,min,max,volume
2026-05-26T06:45:00+00:00,1.623425,1.623515,1.623375,1.623515,343
2026-05-26T06:46:00+00:00,1.623505,1.62348,1.623475,1.62358,248
2026-05-26T06:47:00+00:00,1.62348,1.62355,1.62347,1.623555,162
2026-05-26T06:48:00+00:00,1.623555,1.623505,1.62348,1.623595,237
2026-05-26T06:49:00+00:00,1.6235,1.62372,1.623495,1.623725,197
2026-05-26T06:50:00+00:00,1.623745,1.6236,1.623555,1.623745,241
2026-05-26T06:51:00+00:00,1.623595,1.623475,1.623465,1.623605,245
2026-05-26T06:52:00+00:00,1.62348,1.623485,1.62335,1.623505,236
2026-05-26T06:53:00+00:00,1.62349,1.62348,1.62346,1.623525,174
2026-05-26T06:54:00+00:00,1.62349,1.623625,1.623385,1.623655,349
2026-05-26T06:55:00+00:00,1.62363,1.623725,1.62357,1.623735,395
2026-05-26T06:56:00+00:00,1.62373,1.623365,1.62336,1.62375,425
2026-05-26T06:57:00+00:00,1.623355,1.623315,1.62324,1.62341,363
2026-05-26T06:58:00+00:00,1.62331,1.623575,1.62328,1.62358,308
2026-05-26T06:59:00+00:00,1.62358,1.62383,1.62358,1.62387,453
2026-05-26T07:00:00+00:00,1.623825,1.62401,1.623675,1.62407,470
2026-05-26T07:01:00+00:00,1.624005,1.624065,1.623965,1.624105,301
2026-05-26T07:02:00+00:00,1.62407,1.623995,1.6239,1.6241,455
2026-05-26T07:03:00+00:00,1.623985,1.624465,1.62398,1.62447,547
2026-05-26T07:04:00+00:00,1.62446,1.624465,1.624255,1.6247,781
2026-05-26T07:05:00+00:00,1.624475,1.62444,1.624325,1.62451,893
2026-05-26T07:06:00+00:00,1.624435,1.623855,1.623825,1.62454,853
2026-05-26T07:07:00+00:00,1.62385,1.623645,1.623525,1.6239,566
2026-05-26T07:08:00+00:00,1.623655,1.6241,1.623565,1.624185,500
2026-05-26T07:09:00+00:00,1.624095,1.624345,1.624095,1.62439,530
2026-05-26T07:10:00+00:00,1.62435,1.623975,1.62397,1.6244,440
2026-05-26T07:11:00+00:00,1.623985,1.623875,1.623835,1.62407,355
2026-05-26T07:12:00+00:00,1.62387,1.623765,1.623635,1.623905,396
2026-05-26T07:13:00+00:00,1.623765,1.62373,1.623695,1.6239,433
2026-05-26T07:14:00+00:00,1.623735,1.623595,1.623565,1.623755,447
2026-05-26T07:15:00+00:00,1.6236,1.62386,1.623585,1.623865,442
2026-05-26T07:16:00+00:00,1.62387,1.623895,1.623765,1.623975,276
2026-05-26T07:17:00+00:00,1.62388,1.62401,1.623875,1.624015,310
2026-05-26T07:18:00+00:00,1.624005,1.62403,1.623975,1.624125,363
2026-05-26T07:19:00+00:00,1.624035,1.62418,1.624,1.624255,340
2026-05-26T07:20:00+00:00,1.62417,1.62417,1.624095,1.624215,312
2026-05-26T07:21:00+00:00,1.624175,1.62429,1.62411,1.624315,256
2026-05-26T07:22:00+00:00,1.6243,1.62419,1.624175,1.624415,290
2026-05-26T07:23:00+00:00,1.624185,1.624255,1.62409,1.624255,221
2026-05-26T07:24:00+00:00,1.62426,1.6244,1.624225,1.62444,284
2026-05-26T07:25:00+00:00,1.624395,1.624575,1.624395,1.624735,335
2026-05-26T07:26:00+00:00,1.62457,1.6245,1.624395,1.624655,261
2026-05-26T07:27:00+00:00,1.624505,1.62471,1.624445,1.62473,271
2026-05-26T07:28:00+00:00,1.624705,1.624775,1.62468,1.624775,304
2026-05-26T07:29:00+00:00,1.624775,1.624905,1.624775,1.625015,292
2026-05-26T07:30:00+00:00,1.624895,1.625205,1.624855,1.625215,449
2026-05-26T07:31:00+00:00,1.625195,1.624715,1.624685,1.62525,676
2026-05-26T07:32:00+00:00,1.62472,1.625255,1.624535,1.625255,1109
2026-05-26T07:33:00+00:00,1.625245,1.625185,1.62512,1.625565,838
2026-05-26T07:34:00+00:00,1.62518,1.625235,1.625175,1.62537,470
2026-05-26T07:35:00+00:00,1.62524,1.62515,1.62514,1.625385,557
2026-05-26T07:36:00+00:00,1.625145,1.625045,1.625035,1.62521,467
2026-05-26T07:37:00+00:00,1.625055,1.625075,1.624995,1.625215,405
2026-05-26T07:38:00+00:00,1.625085,1.625265,1.62501,1.625275,400
2026-05-26T07:39:00+00:00,1.625255,1.62521,1.625135,1.625325,367
2026-05-26T07:40:00+00:00,1.625205,1.62514,1.625125,1.625305,378
2026-05-26T07:41:00+00:00,1.625135,1.62527,1.625125,1.62539,415
2026-05-26T07:42:00+00:00,1.625265,1.625215,1.62518,1.625275,348
2026-05-26T07:43:00+00:00,1.625205,1.62519,1.625075,1.625225,403
2026-05-26T07:44:00+00:00,1.625185,1.625165,1.625145,1.625265,349
2026-05-26T07:45:00+00:00,1.62517,1.625235,1.625125,1.62527,370
2026-05-26T07:46:00+00:00,1.625245,1.62516,1.625155,1.625345,349
2026-05-26T07:47:00+00:00,1.625165,1.62514,1.625075,1.625195,329
2026-05-26T07:48:00+00:00,1.625135,1.624865,1.624805,1.62514,285
2026-05-26T07:49:00+00:00,1.62485,1.62472,1.624705,1.624955,398
2026-05-26T07:50:00+00:00,1.624715,1.62477,1.624685,1.62487,378
2026-05-26T07:51:00+00:00,1.624765,1.624875,1.62468,1.62489,443
2026-05-26T07:52:00+00:00,1.62487,1.62497,1.624855,1.624985,306
2026-05-26T07:53:00+00:00,1.624965,1.624985,1.62495,1.62512,392
2026-05-26T07:54:00+00:00,1.624975,1.625035,1.624965,1.62507,323
2026-05-26T07:55:00+00:00,1.62504,1.625155,1.624985,1.62517,463
2026-05-26T07:56:00+00:00,1.62516,1.625125,1.625115,1.625195,281
2026-05-26T07:57:00+00:00,1.62512,1.624715,1.624685,1.625125,326
2026-05-26T07:58:00+00:00,1.62471,1.62459,1.62457,1.624745,387
2026-05-26T07:59:00+00:00,1.62458,1.624455,1.6244,1.624595,360
2026-05-26T08:00:00+00:00,1.62444,1.624925,1.624305,1.624975,906
2026-05-26T08:01:00+00:00,1.62493,1.62481,1.62476,1.624995,568
2026-05-26T08:02:00+00:00,1.624815,1.6248,1.62461,1.62482,371
2026-05-26T08:03:00+00:00,1.624795,1.62464,1.62461,1.624865,512
2026-05-26T08:04:00+00:00,1.624625,1.624525,1.624495,1.62465,403
2026-05-26T08:05:00+00:00,1.62453,1.6243,1.624295,1.62453,416
2026-05-26T08:06:00+00:00,1.624295,1.624405,1.624295,1.62443,361
2026-05-26T08:07:00+00:00,1.624415,1.62441,1.624285,1.62444,282
2026-05-26T08:08:00+00:00,1.624405,1.62442,1.62437,1.624505,270
2026-05-26T08:09:00+00:00,1.624415,1.624415,1.624275,1.62442,317
2026-05-26T08:10:00+00:00,1.62443,1.62429,1.624265,1.62449,451
2026-05-26T08:11:00+00:00,1.624295,1.62434,1.62422,1.62437,379
2026-05-26T08:12:00+00:00,1.624345,1.624495,1.624295,1.624575,415
2026-05-26T08:13:00+00:00,1.6245,1.62463,1.624465,1.624635,366
2026-05-26T08:14:00+00:00,1.624625,1.62456,1.62452,1.62466,345
