timestamp_utc,open,close,min,max,volume
2026-05-25T13:35:00+00:00,113.9595,113.962,113.959,113.9655,149
2026-05-25T13:36:00+00:00,113.9625,113.9575,113.9555,113.964,147
2026-05-25T13:37:00+00:00,113.958,113.9575,113.9515,113.9615,164
2026-05-25T13:38:00+00:00,113.957,113.9545,113.951,113.9575,151
2026-05-25T13:39:00+00:00,113.954,113.961,113.9525,113.9665,143
2026-05-25T13:40:00+00:00,113.9605,113.9555,113.951,113.965,179
2026-05-25T13:41:00+00:00,113.9555,113.9495,113.947,113.959,172
2026-05-25T13:42:00+00:00,113.95,113.9445,113.943,113.956,170
2026-05-25T13:43:00+00:00,113.945,113.9425,113.942,113.951,119
2026-05-25T13:44:00+00:00,113.943,113.9425,113.9395,113.946,125
2026-05-25T13:45:00+00:00,113.943,113.931,113.93,113.9445,118
2026-05-25T13:46:00+00:00,113.9315,113.933,113.926,113.9345,131
2026-05-25T13:47:00+00:00,113.9335,113.9045,113.9,113.934,165
2026-05-25T13:48:00+00:00,113.904,113.914,113.903,113.915,179
2026-05-25T13:49:00+00:00,113.9145,113.9265,113.914,113.9265,85
2026-05-25T13:50:00+00:00,113.926,113.925,113.924,113.9315,70
2026-05-25T13:51:00+00:00,113.925,113.941,113.925,113.942,211
2026-05-25T13:52:00+00:00,113.9415,113.951,113.9375,113.951,171
2026-05-25T13:53:00+00:00,113.9515,113.938,113.9345,113.954,209
2026-05-25T13:54:00+00:00,113.938,113.935,113.931,113.94,163
2026-05-25T13:55:00+00:00,113.9345,113.937,113.931,113.9415,157
2026-05-25T13:56:00+00:00,113.9365,113.9325,113.931,113.9375,119
2026-05-25T13:57:00+00:00,113.933,113.926,113.9165,113.936,203
2026-05-25T13:58:00+00:00,113.9255,113.927,113.9255,113.9365,165
2026-05-25T13:59:00+00:00,113.9275,113.927,113.9245,113.9335,206
2026-05-25T14:00:00+00:00,113.9275,113.942,113.9275,113.944,247
2026-05-25T14:01:00+00:00,113.9415,113.943,113.932,113.9435,133
2026-05-25T14:02:00+00:00,113.9425,113.942,113.938,113.9475,214
2026-05-25T14:03:00+00:00,113.9425,113.955,113.938,113.957,146
2026-05-25T14:04:00+00:00,113.9545,113.968,113.9525,113.9705,174
2026-05-25T14:05:00+00:00,113.9675,113.9615,113.9605,113.9675,143
2026-05-25T14:06:00+00:00,113.962,113.961,113.959,113.9645,172
2026-05-25T14:07:00+00:00,113.961,113.9475,113.9475,113.961,104
2026-05-25T14:08:00+00:00,113.9485,113.951,113.9465,113.9535,112
